x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1
122,349,425,0,1408,349,880,0,-0.001272958240428
125,349,425,0,1431,349,882,0,-0.00055780904035
119,349,427,0,1447,349,889,0,-0.00055780904035
122,349,426,0,1391,349,873,0,-0.000140443514449
124,349,422,0,1371,349,861,0,-0.000140443514449
119,349,425,0,1405,349,881,0,0.000409977321875
115,349,432,0,1434,349,880,0,0.000981716051413
124,349,424,0,1436,349,883,0,0.00063857551743
121,349,425,0,1366,349,859,0,-0.000361483136034
118,349,426,0,1393,349,870,0,-0.000361483136034
116,349,428,0,1400,349,880,0,0.000608261257841
121,349,423,0,1391,349,872,0,0.000372170542967
123,349,422,0,1384,349,872,0,-0.000283051635414
119,349,420,0,1389,349,873,0,0.000365287860325
118,349,431,0,1390,349,874,0,0.000161576871456
123,349,429,0,1432,349,880,0,-0.001235876002229
116,349,428,0,1447,349,896,0,-0.000306149774293
132,349,425,0,1422,349,890,0,0.00048516905609
126,349,424,0,1405,349,878,0,-0.001421915766345
123,349,425,0,1408,349,879,0,-0.001395984472408
123,349,424,0,1396,349,869,0,-0.001395984472408
119,349,425,0,1393,349,870,0,0.00023759702866
123,349,423,0,1403,349,880,0,-0.000231113523329
120,349,424,0,1390,349,874,0,8.11698039486453E-05
122,349,427,0,1372,349,860,0,-0.000181028443006
118,349,426,0,1395,349,869,0,-0.000181028443006
123,349,425,0,1391,349,867,0,0.001326428279153
125,349,428,0,1370,349,860,0,4.64078075012463E-05
122,349,424,0,1391,349,873,0,4.64078075012463E-05
119,349,423,0,1370,349,859,0,4.64078075012463E-05
121,349,424,0,1412,349,882,0,4.64078075012463E-05
121,349,425,0,1440,349,884,0,0.000211623636403
120,349,423,0,1372,349,866,0,-0.000243182506594
115,349,429,0,1381,349,868,0,0.000339382837852
122,349,424,0,1402,349,879,0,9.60366426492387E-05
118,349,427,0,1396,349,883,0,9.60366426492387E-05
119,349,425,0,1384,349,872,0,0.0001808102071
118,349,426,0,1396,349,883,0,0.000683053088438
118,349,424,0,1366,349,862,0,-0.001351159508799
120,349,427,0,1406,349,877,0,-0.001351159508799
121,349,425,0,1394,349,870,0,-0.000827043279845
121,349,422,0,1391,349,869,0,-5.86710913867526E-07
124,349,423,0,1404,349,877,0,-5.86710913867526E-07
119,349,425,0,1385,349,872,0,0.000315261187227
120,349,427,0,1389,349,877,0,-0.000333626911147
122,349,427,0,1439,349,883,0,-0.000333626911147
120,349,426,0,1405,349,882,0,-0.000572259205385
