x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1,g2,g3
118,349,435,0,1331,349,821,0,0.001135845518706,-0.001135845518706,1.135845518706
122,349,440,0,1346,349,843,0,-0.012255757346047,0.012255757346047,-12.255757346047
126,349,437,0,1360,349,850,0,-0.012407106812891,0.012407106812891,-12.407106812891
124,349,435,0,1368,349,849,0,-0.012407106812891,0.012407106812891,-12.407106812891
121,349,436,0,1369,349,850,0,0.001383617940597,-0.001383617940597,1.383617940597
115,349,433,0,1359,349,843,0,0.00142596485013,-0.00142596485013,1.42596485013
118,349,435,0,1343,349,831,0,-0.010253129180228,0.010253129180228,-10.253129180228
115,349,434,0,1356,349,839,0,-0.010253129180228,0.010253129180228,-10.253129180228
112,349,439,0,1339,349,835,0,-0.010969105600923,0.010969105600923,-10.969105600923
112,349,432,0,1322,349,821,0,-0.010969105600923,0.010969105600923,-10.969105600923
116,349,434,0,1344,349,826,0,-0.010450617648892,0.010450617648892,-10.450617648892
112,349,429,0,1342,349,820,0,-0.003356593856192,0.003356593856192,-3.356593856192
115,349,427,0,1343,349,820,0,-0.007853599767968,0.007853599767968,-7.853599767968
105,349,422,0,1307,349,792,0,0.000463463146352,-0.000463463146352,0.463463146352
105,349,423,0,1317,349,797,0,0.000463463146352,-0.000463463146352,0.463463146352
101,349,419,0,1307,349,795,0,0.008242021504655,-0.008242021504655,8.242021504655
100,349,418,0,1309,349,799,0,-9.87455488840966E-05,9.87455488840966E-05,-0.098745548884097
102,349,418,0,1300,349,800,0,0.001588905220475,-0.001588905220475,1.588905220475
105,349,419,0,1304,349,794,0,0.001588905220475,-0.001588905220475,1.588905220475
107,349,417,0,1288,349,799,0,0.000434829911033,-0.000434829911033,0.434829911033
99,349,414,0,1315,349,807,0,0.012333026123181,-0.012333026123181,12.333026123181
102,349,414,0,1309,349,810,0,0.002681935259208,-0.002681935259208,2.681935259208
104,349,415,0,1297,349,810,0,0.01283629792508,-0.01283629792508,12.83629792508
94,349,422,0,1352,349,834,0,-0.002499087392469,0.002499087392469,-2.499087392469
98,349,418,0,1335,349,822,0,0.00452128442813,-0.00452128442813,4.52128442813
97,349,415,0,1327,349,820,0,-0.002360246532593,0.002360246532593,-2.360246532593
105,349,412,0,1338,349,831,0,-0.002360246532593,0.002360246532593,-2.360246532593
90,349,413,0,1332,349,825,0,0.003255649623785,-0.003255649623785,3.255649623785
86,349,419,0,1315,349,828,0,0.002061132881355,-0.002061132881355,2.061132881355
92,349,418,0,1354,349,843,0,0.002061132881355,-0.002061132881355,2.061132881355
90,349,416,0,1355,349,843,0,0.010368375508181,-0.010368375508181,10.368375508181
93,349,421,0,1315,349,828,0,0.010179050771663,-0.010179050771663,10.179050771663
92,349,411,0,1316,349,830,0,0.009278858885542,-0.009278858885542,9.278858885542
94,349,415,0,1337,349,840,0,0.009278858885542,-0.009278858885542,9.278858885542
99,349,418,0,1341,349,836,0,0.008052735947108,-0.008052735947108,8.052735947108
